date,bidopen,bidclose,bidhigh,bidlow,askopen,askclose,askhigh,asklow,tickqty
2001-09-09 21:00:00,0.9068,0.8979,0.9079,0.8972,0.9072,0.8983,0.9083,0.8976,0
2001-09-10 21:00:00,0.8979,0.913,0.9147,0.8955,0.8983,0.9134,0.9151,0.8959,0
2001-09-11 21:00:00,0.913,0.9067,0.915,0.9015,0.9134,0.9071,0.9154,0.9019,0
2001-09-12 21:00:00,0.9067,0.9109,0.9125,0.9048,0.9071,0.9113,0.9129,0.9052,0
2001-09-13 21:00:00,0.9109,0.9226,0.9247,0.9082,0.9113,0.923,0.9251,0.9086,0
2001-09-16 21:00:00,0.9226,0.9247,0.9331,0.9175,0.923,0.9251,0.9335,0.9179,0
2001-09-17 21:00:00,0.9247,0.9272,0.9284,0.9189,0.9251,0.9276,0.9288,0.9193,0
2001-09-18 21:00:00,0.9272,0.9268,0.9327,0.9232,0.9276,0.9272,0.9331,0.9236,0
2001-09-19 21:00:00,0.9268,0.9279,0.9291,0.923,0.9272,0.9283,0.9295,0.9234,0
2001-09-20 21:00:00,0.9279,0.9134,0.928,0.9087,0.9283,0.9138,0.9284,0.9091,0
2001-09-23 21:00:00,0.9134,0.9169,0.9192,0.9107,0.9138,0.9173,0.9196,0.9111,0
2001-09-24 21:00:00,0.9169,0.923,0.9247,0.9148,0.9173,0.9234,0.9251,0.9152,0
2001-09-25 21:00:00,0.923,0.9232,0.9244,0.9199,0.9234,0.9236,0.9248,0.9203,0
2001-09-26 21:00:00,0.9232,0.9181,0.9234,0.916,0.9236,0.9185,0.9238,0.9164,0
2001-09-27 21:00:00,0.9181,0.9101,0.9184,0.9082,0.9185,0.9105,0.9188,0.9086,0
2001-09-30 21:00:00,0.9101,0.9176,0.9178,0.9068,0.9105,0.918,0.9182,0.9072,0
2001-10-01 21:00:00,0.9176,0.919,0.9197,0.9136,0.918,0.9194,0.9201,0.914,0
2001-10-02 21:00:00,0.919,0.9146,0.923,0.9125,0.9194,0.915,0.9234,0.9129,0
2001-10-03 21:00:00,0.9146,0.9177,0.9187,0.9114,0.915,0.9181,0.9191,0.9118,0
2001-10-04 21:00:00,0.9177,0.9192,0.9204,0.9159,0.9181,0.9196,0.9208,0.9163,0
2001-10-07 21:00:00,0.9192,0.9199,0.924,0.9168,0.9196,0.9203,0.9244,0.9172,0
2001-10-08 21:00:00,0.9199,0.9132,0.9225,0.9123,0.9203,0.9136,0.9229,0.9127,0
2001-10-09 21:00:00,0.9132,0.9111,0.9156,0.91,0.9136,0.9115,0.916,0.9104,0
2001-10-10 21:00:00,0.9111,0.9026,0.9125,0.8992,0.9115,0.903,0.9129,0.8996,0
2001-10-11 21:00:00,0.9026,0.9118,0.9123,0.9014,0.903,0.9122,0.9127,0.9018,0
2001-10-14 21:00:00,0.9118,0.909,0.9141,0.9065,0.9122,0.9094,0.9145,0.9069,0
2001-10-15 21:00:00,0.909,0.9075,0.9112,0.904,0.9094,0.9079,0.9116,0.9044,0
2001-10-16 21:00:00,0.9075,0.9038,0.909,0.9011,0.9079,0.9042,0.9094,0.9015,0
2001-10-17 21:00:00,0.9038,0.9032,0.9057,0.8996,0.9042,0.9036,0.9061,0.9,0
2001-10-18 21:00:00,0.9032,0.8982,0.9036,0.8967,0.9036,0.8986,0.904,0.8971,0
2001-10-21 21:00:00,0.8982,0.8921,0.9001,0.8897,0.8986,0.8925,0.9005,0.8901,0
2001-10-22 21:00:00,0.8921,0.8904,0.8928,0.887,0.8925,0.8908,0.8932,0.8874,0
2001-10-23 21:00:00,0.8904,0.8942,0.8943,0.8898,0.8908,0.8946,0.8947,0.8902,0
2001-10-24 21:00:00,0.8942,0.8924,0.8978,0.888,0.8946,0.8928,0.8982,0.8884,0
2001-10-25 21:00:00,0.8924,0.8929,0.8949,0.8906,0.8928,0.8933,0.8953,0.891,0
2001-10-28 21:00:00,0.8929,0.9054,0.9058,0.8923,0.8933,0.9058,0.9062,0.8927,0
2001-10-29 21:00:00,0.9054,0.904,0.91,0.9036,0.9058,0.9044,0.9104,0.904,0
2001-10-30 21:00:00,0.904,0.8999,0.9079,0.8986,0.9044,0.9003,0.9083,0.899,0
2001-10-31 21:00:00,0.8999,0.9025,0.9118,0.8995,0.9003,0.9029,0.9122,0.8999,0
2001-11-01 21:00:00,0.9025,0.9014,0.9067,0.9007,0.9029,0.9018,0.9071,0.9011,0
2001-11-04 21:00:00,0.9014,0.8978,0.902,0.8946,0.9018,0.8982,0.9024,0.895,0
2001-11-05 21:00:00,0.8978,0.8946,0.8993,0.894,0.8982,0.895,0.8997,0.8944,0
2001-11-06 21:00:00,0.8946,0.8979,0.9046,0.8939,0.895,0.8983,0.905,0.8943,0
2001-11-07 21:00:00,0.8979,0.8926,0.8995,0.8907,0.8983,0.893,0.8999,0.8911,0
